player_id,player_name,team_id,team_name,competition_id,competition_name,season_id,season_name,num_matches
2935,Nordi Mukiele Mulere,131,Paris Saint-Germain,7,Ligue 1,235,2022/2023,17
2936,Christophe Kerbrat,142,Guingamp,7,Ligue 1,27,2015/2016,29
2937,Christ-Emmanuel Faitout Maouassa,139,Montpellier,7,Ligue 1,235,2022/2023,2
2940,Jean Eudès Aholou,138,Strasbourg,7,Ligue 1,108,2021/2022,1
2940,Jean Eudès Aholou,138,Strasbourg,7,Ligue 1,235,2022/2023,1
2941,Ismaïla Sarr,787,Senegal,43,FIFA World Cup,3,2018,3
2941,Ismaïla Sarr,787,Senegal,43,FIFA World Cup,106,2022,4
2941,Ismaïla Sarr,787,Senegal,1267,African Cup of Nations,107,2023,4
2942,Adama Mbengue,787,Senegal,43,FIFA World Cup,3,2018,3
2943,Lucas Deaux,144,Nantes,7,Ligue 1,27,2015/2016,18
2944,Benjamin Corgnet,135,Saint-Étienne,7,Ligue 1,27,2015/2016,21
2946,Frédéric Guilbert,138,Strasbourg,7,Ligue 1,108,2021/2022,1
2946,Frédéric Guilbert,138,Strasbourg,7,Ligue 1,235,2022/2023,1
2946,Frédéric Guilbert,146,Bordeaux,7,Ligue 1,27,2015/2016,34
2947,Anthony Lopes,137,Lyon,7,Ligue 1,27,2015/2016,37
2947,Anthony Lopes,137,Lyon,7,Ligue 1,108,2021/2022,1
2947,Anthony Lopes,137,Lyon,7,Ligue 1,235,2022/2023,2
2947,Anthony Lopes,780,Portugal,43,FIFA World Cup,3,2018,4
2947,Anthony Lopes,780,Portugal,55,UEFA Euro,43,2020,4
2948,Nabil Fekir,137,Lyon,7,Ligue 1,27,2015/2016,10
2948,Nabil Fekir,218,Real Betis,11,La Liga,42,2019/2020,1
2948,Nabil Fekir,218,Real Betis,11,La Liga,90,2020/2021,1
2948,Nabil Fekir,771,France,43,FIFA World Cup,3,2018,7
2950,Jonas Martin,134,Rennes,7,Ligue 1,108,2021/2022,2
2950,Jonas Martin,139,Montpellier,7,Ligue 1,27,2015/2016,36
2950,Jonas Martin,143,Lille,7,Ligue 1,235,2022/2023,2
2950,Jonas Martin,218,Real Betis,11,La Liga,2,2016/2017,1
2952,Yoann Salmier,133,Troyes,7,Ligue 1,108,2021/2022,1
2952,Yoann Salmier,133,Troyes,7,Ligue 1,235,2022/2023,1
2953,Abdou Kader Mangane,160,Gazélec Ajaccio,7,Ligue 1,27,2015/2016,32
2954,Youri Tielemans,782,Belgium,43,FIFA World Cup,3,2018,7
2954,Youri Tielemans,782,Belgium,43,FIFA World Cup,106,2022,3
2954,Youri Tielemans,782,Belgium,55,UEFA Euro,43,2020,5
2954,Youri Tielemans,782,Belgium,55,UEFA Euro,282,2024,4
2955,Ronny Rodelin,140,Caen,7,Ligue 1,27,2015/2016,8
2955,Ronny Rodelin,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,26
2955,Ronny Rodelin,143,Lille,7,Ligue 1,27,2015/2016,2
2956,Bertrand Isidore Traoré,33,Chelsea,2,Premier League,27,2015/2016,23
2956,Bertrand Isidore Traoré,4921,Burkina Faso,1267,African Cup of Nations,107,2023,4
2959,Julien Féret,140,Caen,7,Ligue 1,27,2015/2016,9
2959,Julien Féret,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,29
2961,Yann Bodiger,130,Toulouse,7,Ligue 1,27,2015/2016,32
2961,Yann Bodiger,552,Cádiz,11,La Liga,90,2020/2021,1
2963,Rémy Vercoutre,140,Caen,7,Ligue 1,27,2015/2016,9
2963,Rémy Vercoutre,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,29
2966,Stéphane Sessègnon,27,West Bromwich Albion,2,Premier League,27,2015/2016,27
2967,Mamadou Samassa,142,Guingamp,7,Ligue 1,27,2015/2016,21
2969,Karim Azamoum,133,Troyes,7,Ligue 1,27,2015/2016,24
2970,Christian Kouakou Yao,140,Caen,7,Ligue 1,27,2015/2016,2
2970,Christian Kouakou Yao,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,6
2971,Romain Genevois,136,OGC Nice,7,Ligue 1,27,2015/2016,28
2972,Marcus Thuram,771,France,43,FIFA World Cup,106,2022,7
2972,Marcus Thuram,771,France,55,UEFA Euro,43,2020,2
2972,Marcus Thuram,771,France,55,UEFA Euro,282,2024,6
2973,Christophe Hérelle,153,Stade Brestois,7,Ligue 1,235,2022/2023,2
2974,Saîf-Eddine Khaoui,152,Clermont Foot,7,Ligue 1,108,2021/2022,1
2974,Saîf-Eddine Khaoui,152,Clermont Foot,7,Ligue 1,235,2022/2023,2
2974,Saîf-Eddine Khaoui,777,Tunisia,43,FIFA World Cup,3,2018,3
2975,Mathieu Deplagne,139,Montpellier,7,Ligue 1,27,2015/2016,35
2976,Samuel Grandsir,133,Troyes,7,Ligue 1,27,2015/2016,1
2979,Jonathan Delaplace,140,Caen,7,Ligue 1,27,2015/2016,6
2979,Jonathan Delaplace,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,17
2980,Kévin Bérigaud,139,Montpellier,7,Ligue 1,27,2015/2016,24
2981,Alban Lafont,130,Toulouse,7,Ligue 1,27,2015/2016,24
2981,Alban Lafont,144,Nantes,7,Ligue 1,108,2021/2022,2
2981,Alban Lafont,144,Nantes,7,Ligue 1,235,2022/2023,2
2983,Jérémy Morel,137,Lyon,7,Ligue 1,27,2015/2016,35
2983,Jérémy Morel,165,Lorient,7,Ligue 1,108,2021/2022,1
2985,Ludovic Baal,134,Rennes,7,Ligue 1,27,2015/2016,26
2987,Tristan Dingomé,133,Troyes,7,Ligue 1,108,2021/2022,1
2987,Tristan Dingomé,133,Troyes,7,Ligue 1,235,2022/2023,1
2988,Memphis Depay,39,Manchester United,2,Premier League,27,2015/2016,37
2988,Memphis Depay,941,Netherlands,43,FIFA World Cup,106,2022,5
2988,Memphis Depay,941,Netherlands,55,UEFA Euro,43,2020,4
2988,Memphis Depay,941,Netherlands,55,UEFA Euro,282,2024,6
2989,Alexander Djiku,138,Strasbourg,7,Ligue 1,108,2021/2022,1
2989,Alexander Djiku,2736,Bastia,7,Ligue 1,27,2015/2016,20
2989,Alexander Djiku,4885,Ghana,43,FIFA World Cup,106,2022,3
2989,Alexander Djiku,4885,Ghana,1267,African Cup of Nations,107,2023,3
2990,Benjamin André,134,Rennes,7,Ligue 1,27,2015/2016,37
2990,Benjamin André,143,Lille,7,Ligue 1,108,2021/2022,1
2990,Benjamin André,143,Lille,7,Ligue 1,235,2022/2023,2
2991,Hervé Bazile,140,Caen,7,Ligue 1,27,2015/2016,8
2991,Hervé Bazile,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,20
2992,Vincent Bessat,140,Caen,7,Ligue 1,27,2015/2016,8
2992,Vincent Bessat,140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,27
2993,Stéphane Darbion,133,Troyes,7,Ligue 1,27,2015/2016,27
2994,Abdoulaye Diallo,134,Rennes,7,Ligue 1,27,2015/2016,14
2994,Abdoulaye Diallo,787,Senegal,43,FIFA World Cup,3,2018,3
