team_id,team_name,competition_id,competition_name,season_id,season_name,num_matches
1,Arsenal,2,Premier League,27,2015/2016,38
1,Arsenal,2,Premier League,44,2003/2004,38
22,Leicester City,2,Premier League,27,2015/2016,38
22,Leicester City,2,Premier League,44,2003/2004,2
23,Watford,2,Premier League,27,2015/2016,38
24,Liverpool,2,Premier League,27,2015/2016,38
24,Liverpool,2,Premier League,44,2003/2004,2
24,Liverpool,16,Champions League,1,2017/2018,1
24,Liverpool,16,Champions League,4,2018/2019,1
24,Liverpool,16,Champions League,37,2004/2005,1
24,Liverpool,16,Champions League,39,2006/2007,1
25,Southampton,2,Premier League,27,2015/2016,38
25,Southampton,2,Premier League,44,2003/2004,2
26,Swansea City,2,Premier League,27,2015/2016,38
27,West Bromwich Albion,2,Premier League,27,2015/2016,38
28,AFC Bournemouth,2,Premier League,27,2015/2016,38
29,Everton,2,Premier League,27,2015/2016,38
29,Everton,2,Premier League,44,2003/2004,2
30,Stoke City,2,Premier League,27,2015/2016,38
31,Crystal Palace,2,Premier League,27,2015/2016,38
33,Chelsea,2,Premier League,27,2015/2016,38
33,Chelsea,2,Premier League,44,2003/2004,2
33,Chelsea,16,Champions League,23,2011/2012,1
36,Manchester City,2,Premier League,27,2015/2016,38
36,Manchester City,2,Premier League,44,2003/2004,2
37,Newcastle United,2,Premier League,27,2015/2016,38
37,Newcastle United,2,Premier League,44,2003/2004,2
38,Tottenham Hotspur,2,Premier League,27,2015/2016,38
38,Tottenham Hotspur,2,Premier League,44,2003/2004,2
38,Tottenham Hotspur,16,Champions League,4,2018/2019,1
39,Manchester United,2,Premier League,27,2015/2016,38
39,Manchester United,2,Premier League,44,2003/2004,2
39,Manchester United,16,Champions League,22,2010/2011,1
39,Manchester United,16,Champions League,41,2008/2009,1
39,Manchester United,16,Champions League,76,1999/2000,1
40,West Ham United,2,Premier League,27,2015/2016,38
41,Sunderland,2,Premier League,27,2015/2016,38
46,Wolverhampton Wanderers,2,Premier League,44,2003/2004,2
47,Middlesbrough,2,Premier League,44,2003/2004,2
54,Birmingham City,2,Premier League,44,2003/2004,2
55,Fulham,2,Premier League,44,2003/2004,2
56,Norwich City,2,Premier League,27,2015/2016,38
59,Aston Villa,2,Premier League,27,2015/2016,38
59,Aston Villa,2,Premier League,44,2003/2004,2
75,Charlton Athletic,2,Premier League,44,2003/2004,2
98,Blackburn Rovers,2,Premier League,44,2003/2004,2
101,Leeds United,2,Premier League,44,2003/2004,2
105,Portsmouth,2,Premier League,44,2003/2004,2
129,AS Monaco,7,Ligue 1,27,2015/2016,38
129,AS Monaco,7,Ligue 1,108,2021/2022,1
129,AS Monaco,7,Ligue 1,235,2022/2023,1
129,AS Monaco,16,Champions League,44,2003/2004,1
130,Toulouse,7,Ligue 1,27,2015/2016,38
130,Toulouse,7,Ligue 1,235,2022/2023,2
131,Paris Saint-Germain,7,Ligue 1,27,2015/2016,37
131,Paris Saint-Germain,7,Ligue 1,108,2021/2022,26
131,Paris Saint-Germain,7,Ligue 1,235,2022/2023,32
133,Troyes,7,Ligue 1,27,2015/2016,37
133,Troyes,7,Ligue 1,108,2021/2022,1
133,Troyes,7,Ligue 1,235,2022/2023,1
134,Rennes,7,Ligue 1,27,2015/2016,38
134,Rennes,7,Ligue 1,108,2021/2022,2
134,Rennes,7,Ligue 1,235,2022/2023,2
135,Saint-Étienne,7,Ligue 1,27,2015/2016,37
135,Saint-Étienne,7,Ligue 1,108,2021/2022,2
136,OGC Nice,7,Ligue 1,27,2015/2016,38
136,OGC Nice,7,Ligue 1,108,2021/2022,2
136,OGC Nice,7,Ligue 1,235,2022/2023,2
137,Lyon,7,Ligue 1,27,2015/2016,38
137,Lyon,7,Ligue 1,108,2021/2022,1
137,Lyon,7,Ligue 1,235,2022/2023,2
138,Strasbourg,7,Ligue 1,108,2021/2022,1
138,Strasbourg,7,Ligue 1,235,2022/2023,1
139,Montpellier,7,Ligue 1,27,2015/2016,38
139,Montpellier,7,Ligue 1,108,2021/2022,1
139,Montpellier,7,Ligue 1,235,2022/2023,2
140,Stade Malherbe Caen,7,Ligue 1,27,2015/2016,38
141,Metz,7,Ligue 1,108,2021/2022,1
142,Guingamp,7,Ligue 1,27,2015/2016,38
143,Lille,7,Ligue 1,27,2015/2016,38
143,Lille,7,Ligue 1,108,2021/2022,2
143,Lille,7,Ligue 1,235,2022/2023,2
144,Nantes,7,Ligue 1,27,2015/2016,38
144,Nantes,7,Ligue 1,108,2021/2022,2
144,Nantes,7,Ligue 1,235,2022/2023,2
145,Angers,7,Ligue 1,27,2015/2016,38
145,Angers,7,Ligue 1,235,2022/2023,2
146,Bordeaux,7,Ligue 1,27,2015/2016,37
146,Bordeaux,7,Ligue 1,108,2021/2022,1
